"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PSX","Phillips 66","103.74","48376570127.34","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/psx",
"PSXP","Phillips 66 Partners LP","49.04","5961888869.36","n/a","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/psxp",
"PES","Pioneer Energy Services Corp.","2.95","229493854.65","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pes",
"PXD","Pioneer Natural Resources Company","188.32","32113752170.72","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pxd",
"PAA","Plains All American Pipeline, L.P.","23.82","18947210129.7","n/a","1998","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","24.04","16091132242.52","n/a","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/pagp",
"PLUG","Plug Power, Inc.","1.88","429778302.4","n/a","1999","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/plug",
"PDS","Precision Drilling Corporation","3.09","906108071.22","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pds",
"PNRG","PrimeEnergy Corporation","52.9","115410924.9","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pnrg",
"PFIE","Profire Energy, Inc.","3.27","159675993.33","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/pfie",
"PUMP","ProPetro Holding Corp.","17.44","1448215053.76","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/pump",
"QEP","QEP Resources, Inc.","11.27","2681079692.9","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/qep",
"QES","Quintana Energy Services Inc.","8.95","300996859.3","n/a","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/qes",
"METC","Ramaco Resources, Inc.","6.42","257298185.58","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/metc",
"RRC","Range Resources Corporation","14.64","3648817880.16","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rrc",
