"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HLI","Houlihan Lokey, Inc.","44.6","2935196289.6","n/a","2015","Finance","Investment Managers","https://www.nasdaq.com/symbol/hli",
"HBMD","Howard Bancorp, Inc.","19.8","375483675.6","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbmd",
"HSBC","HSBC Holdings plc","47.67","191183232788.31","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hsbc",
"HSEA","HSBC Holdings plc","26.31","0","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","26.14","0","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hseb",
"HPP","Hudson Pacific Properties, Inc.","32.53","5096769561.56","n/a","2010","Finance","Real Estate","https://www.nasdaq.com/symbol/hpp",
"HBAN","Huntington Bancshares Incorporated","15.1","16208969685.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hban",
"HBANN","Huntington Bancshares Incorporated","25.7","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbann",
"HBANO","Huntington Bancshares Incorporated","27.25","21709777348.25","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbano",
"HVBC","HV Bancorp, Inc.","14.1705","30921802.3125","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/hvbc",
"IAM","I-AM Capital Acquisition Company","9.94","67726190","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/iam",
"IAMXR","I-AM Capital Acquisition Company","0.3518","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/iamxr",
"IAMXW","I-AM Capital Acquisition Company","0.4395","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/iamxw",
"IBKC","IBERIABANK Corporation","78","4205155812","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkc",
"IBKCO","IBERIABANK Corporation","27.25","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkco",
"IBKCP","IBERIABANK Corporation","27.12","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkcp",
"ICCH","ICC Holdings, Inc.","15.6853","49751857.9934","n/a","2017","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/icch",
"IBN","ICICI Bank Limited","8.85","28418729830.05","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ibn",
"IROQ","IF Bancorp, Inc.","20.0005","78810130.204","n/a","2011","Finance","Savings Institutions","https://www.nasdaq.com/symbol/iroq",
"ILG","ILG, Inc","31.11","3863953214.52","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/ilg",
"IHC","Independence Holding Company","35.65","527743634.2","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/ihc",
