company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
NEP,2016,4.866666667,74497.901,42.88,4.13,0.47,0.42,2.8,-0.6,1.2,-9.74,-66.05,nan,nan,nan,16.06,11.48,3.5,57.08,3.95,3.35,1.11,15.26,15.57,23.91,0.49,0.42,0.687940486
NEP,2015,5.266666667,72482.854,45.3,12.7,10.37,0.48,2.76,7.97,5.91,6.26,148.87,364.08,364.08,nan,18.44,12.53,4.07,57.39,3.62,3.12,1.12,14.45,12.96,25.26,0.55,0.48,-0.14438861
NEP,2014,6.175,69710.435,34.79,4.68,2.83,0.46,2.76,1.8,2.87,-3.14,-33.34,-27.19,-26.89,nan,6.07,9.54,4.64,57.61,2.41,1.92,1.12,18.37,18.9,19.87,0.52,0.46,-0.115555556
NEE,2016,4.866666667,74497.901,17.16,4.8,4.46,0.58,1.62,28.04,21.17,-6.67,nan,nan,nan,nan,4.53,27.48,20.24,38.45,1.36,0.81,0.18,81.05,63.17,4.5,10.57,0.58,0.307466935
NEE,2015,5.266666667,72482.854,-36.96,-48.89,-50.2,0.49,2.24,-40.75,-27.79,-11.05,nan,nan,nan,41.21,4.32,40.77,27.93,55.27,1.46,0.49,0.53,80.74,57.44,4.52,8.91,0.49,0.149870055
NEE,2014,6.175,69710.435,33.15,10.43,6.43,0.48,1.74,3.27,4.03,nan,nan,nan,nan,nan,3.67,24.31,17.8,42.43,1.37,0.97,0.33,77.78,146.64,4.69,8.56,0.48,-0.022579735
NI,2016,4.866666667,74497.901,-544,nan,nan,nan,1.61,-24.7,-16,-96.66,nan,nan,nan,nan,31,5.32,16.46,37.73,0.32,0.05,0.19,591.3,1360.53,0.62,nan,nan,0.159439928
NI,2015,5.266666667,72482.854,-30.81,-95.59,-197.76,0.05,1.45,-12.38,-6.63,-78.56,nan,nan,nan,nan,3.94,6.28,27.56,30.84,0.23,0.04,nan,184.63,239.17,1.98,0.06,0.05,0.134802665
NI,2014,6.175,69710.435,8.03,-17.24,-20.96,0.23,1.41,-5.27,-1.87,nan,nan,nan,nan,nan,20.68,12.08,16.99,29.26,0.71,0.35,0.07,38.42,51.72,9.5,0.25,0.23,0.170365927
NWE,2013,7.358333333,66766.067,-25.3,nan,nan,0.03,1.18,-131.35,-103.91,-65.15,nan,nan,nan,nan,nan,48,8.41,15.24,5.71,5.71,nan,777.31,777.4,0.47,0.07,0.03,0.306094183
NWE,2012,8.075,64621.02,22.53,-555.24,-477.75,0.1,1.18,-58.74,-59.65,-7.51,nan,nan,nan,nan,594.01,50.5,9.52,15.4,5.31,5.31,nan,469.12,438.86,0.78,0.22,0.1,0.247336597
NRG,2016,4.866666667,74497.901,30.55,8.13,-9.3,0.39,14.87,-29.53,1.57,-15.83,26.46,nan,nan,nan,11.84,21.07,15.68,92.7,1.46,0.72,8.82,34.33,37.63,10.63,0.67,0.39,1.323001631
NRG,2015,5.266666667,72482.854,27,4.83,-40.44,0.4,12.15,-102.69,-21.3,-7.52,-31.68,nan,nan,nan,10.41,22.48,14.51,90.02,1.69,0.61,7.01,30.83,32.73,11.84,0.71,0.4,0.041631266
NRG,2014,6.175,69710.435,25.59,9.03,0.85,0.43,4.17,0.81,4.15,40.49,54.09,nan,nan,nan,5.83,21.1,12.54,74.06,1.77,0.74,2.04,29.17,32.51,12.51,0.75,0.43,-0.563265306
NRG,2013,7.358333333,66766.067,28.02,8.23,-5.61,0.33,3.53,-4.03,0.6,34.11,103.5,nan,nan,nan,17.59,22.41,12.73,70.18,1.81,0.95,1.64,35.55,49.62,10.27,0.56,0.33,-0.061629526
NRG,2012,8.075,64621.02,27.1,5.43,-0.14,0.27,3.51,6.29,4.53,-7.24,-42.52,183.76,201.28,nan,40.33,22.65,13.51,70.34,1.7,0.66,1.57,39.44,59.3,9.25,0.49,0.27,0.249238799
NYLD,2016,4.866666667,74497.901,70.24,39.42,0.1,0.13,4.53,3.09,4.42,17.49,43.57,72.73,45,nan,1.93,65.13,69.01,23.53,0.92,4.53,33.25,44.13,49.95,8.27,0.13,0.196202532,
NYLD,2015,5.266666667,72482.854,66.63,34.09,8.68,0.13,4.22,2.15,3.83,49.06,24.44,106.25,-32.2,nan,3,65.03,65.32,26.36,0.47,4.22,34.02,31,40.46,11.77,0.13,0.070460705,
NYLD,2014,6.175,69710.435,66.55,37.44,13.53,0.14,4.66,1.72,4.94,86.26,75.78,23.08,3.51,nan,3.99,60.62,70.65,22.41,1.56,4.66,33.81,27.29,-24.18,13.38,0.14,-0.686890115,
NYLD,2013,7.358333333,66766.067,61.76,40.83,33.85,0.15,3.68,1.86,2.76,78.86,312.9,nan,nan,nan,61.5,66.62,51.79,32.57,0.7,3.68,36.73,27.3,-290.9,13.37,0.15,0.178205449,
OGE,2016,4.866666667,74497.901,40.43,22.28,21.53,0.23,2.89,9.99,7.14,2.84,4.59,24.66,24.26,nan,29.22,5.53,10.33,65.35,0.53,0.25,0.7,28.3,97.03,12.9,0.3,0.23,-0.016143498
OGE,2015,5.266666667,72482.854,40.07,21.9,16.78,0.23,2.89,8.26,6.31,-10.44,-10.36,-31.46,-31.31,nan,24.94,5.94,7.84,65.34,0.76,0.42,0.8,30.2,93.17,12.08,0.31,0.23,0.2723469
OGE,2014,6.175,69710.435,54.89,21.88,23.18,0.26,2.94,12.6,8.34,-14.46,-3.02,2.12,2.06,nan,23.21,7.41,6.02,65.95,1.23,0.47,0.85,27.39,70.93,13.32,0.36,0.26,-0.259019166
OGE,2013,7.358333333,66766.067,50.17,19.3,18.28,0.3,3.01,13.36,8.4,-21.89,-17.36,9.18,8.38,nan,34.54,7.6,11.97,66.75,0.64,0.24,0.76,30.21,82.72,12.08,0.38,0.3,0.04660767
OGE,2012,8.075,64621.02,47.74,18.23,14.17,0.39,3.59,13.32,8.23,-6.25,2.57,3.53,3.77,nan,30.59,8,13.27,71.23,0.62,0.28,1.03,30.71,74.64,11.88,0.46,0.39,0.203835227
OGS,2016,4.866666667,74497.901,62.04,18.86,15.79,0.3,2.62,7.51,4.46,-7.78,12.54,17.7,18.3,nan,21.66,11.51,8.98,61.8,1.28,0.69,0.63,64.87,80.66,5.63,0.39,0.3,0.167304015
OGS,2015,5.266666667,72482.854,54.39,15.45,12.41,0.33,2.52,6.55,4.81,-14.91,6.14,8.42,8.21,nan,19.02,10.4,6.55,60.35,1.59,0.85,0.65,64.04,68.91,5.7,0.45,0.33,0.250946781
