company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
HFBC,2015,5.266666667,72482.854,nan,nan,7.84,0.04,10.31,2.58,nan,1.58,nan,9.32,26.67,nan,6.91,nan,nan,90.3,nan,nan,0.29,nan,nan,nan,1.46,0.04,0.121666667
HFBC,2014,6.175,69710.435,nan,nan,18.77,0.04,9.51,2.27,nan,-4.01,nan,-41.55,-40,nan,3.47,nan,nan,89.48,nan,nan,0.45,nan,nan,nan,1.46,0.04,-0.056603774
HFBC,2013,7.358333333,66766.067,nan,nan,13.16,0.04,10.17,3.75,nan,-1.56,nan,-7.54,31.58,nan,7.14,nan,nan,90.17,nan,nan,0.6,nan,nan,nan,1.53,0.04,0.116769096
HFBC,2012,8.075,64621.02,nan,nan,14.51,0.04,9.22,2.54,nan,-6.35,nan,39.35,52,nan,2.04,nan,nan,89.15,nan,nan,0.51,nan,nan,nan,1.55,0.04,0.321345708
HBNC,2016,4.866666667,74497.901,40.53,-0.02,4.65,1.03,4.08,13.84,8.33,36.64,nan,62.61,44.62,nan,5.46,36.59,26.85,75.5,1.36,0.3,1.04,9.16,67.05,39.86,2.29,1.03,-0.007142857
HBNC,2015,5.266666667,72482.854,40,2.02,2.58,0.96,3.64,10.48,6.81,56.39,2336.62,nan,nan,nan,5.21,31.18,23.63,72.53,1.32,0.18,1.15,1.98,57.07,183.99,1.87,0.96,0.502145923
HBNC,2014,6.175,69710.435,38.41,0.1,-4.9,0.93,3.87,-16.93,-5.47,28.12,-94.12,nan,nan,nan,5.58,28.87,25.06,74.13,1.15,0.09,1.43,1.97,55.91,185.56,1.92,0.93,0.069420539
HBNC,2013,7.358333333,66766.067,39,2.83,0.45,1.13,3.26,-4.58,0.61,5.91,-38.49,nan,nan,nan,4.98,43.8,41.92,69.32,1.04,0.09,0.72,6.24,74.36,58.45,2.98,1.13,0.031971581
HBNC,2012,8.075,64621.02,40.1,5.1,1.39,0.96,4.18,151.51,72.78,nan,nan,nan,nan,nan,4.42,50.26,47.99,76.05,1.05,0.09,0.94,11.76,97.03,31.05,2.75,0.96,0.289312977
HBMD,2016,4.866666667,74497.901,nan,nan,23.18,0.05,11.97,6.18,nan,16.01,nan,364.36,356.25,nan,1.28,nan,nan,91.65,nan,nan,0.24,nan,nan,nan,2.4,0.05,0.476510067
