"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AGII","Argo Group International Holdings, Ltd.","57.1","1674231384","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.28","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/agiil",
"AI","Arlington Asset Investment Corp","11.35","319397183.35","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/ai",
"AIC","Arlington Asset Investment Corp","24.24","0","n/a","2015","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","24.6499","0","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aiw",
"AHH","Armada Hoffler Properties, Inc.","13.66","616070794.66","n/a","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","33.5","467195891","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","67.09","12213457619.57","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","32.15","2475397319.65","n/a","2013","Finance","Investment Managers","https://www.nasdaq.com/symbol/apam",
"AHL","Aspen Insurance Holdings Limited","44.1","2626750085.4","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ahl",
"ASB","Associated Banc-Corp","24.3","4135858809.3","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asb",
"AC","Associated Capital Group, Inc.","36.95","873324076.35","n/a","2015","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ac",
"AIZ","Assurant, Inc.","89.54","4704641750.38","n/a","2004","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aiz",
"AIZP","Assurant, Inc.","102.9","0","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aizp",
"AGO","Assured Guaranty Ltd.","37.24","4281400872","n/a","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","3.3501","22190442.6315","n/a","1995","Finance","Finance Companies","https://www.nasdaq.com/symbol/asfi",
"ATH","Athene Holding Ltd.","47.55","9512360524.65","n/a","2016","Finance","Life Insurance","https://www.nasdaq.com/symbol/ath",
"ATAC","Atlantic Acquisition Corp.","10.02","58842419.94","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/atac",
"ATACR","Atlantic Acquisition Corp.","0.6","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/atacr",
"ATACU","Atlantic Acquisition Corp.","10.525","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/atacu",
"AAME","Atlantic American Corporation","3.35","68341494.1","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","18.75","483230156.25","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acbi",
"ACFC","Atlantic Coast Financial Corporation","10.17","158172311.61","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/acfc",
"ATLC","Atlanticus Holdings Corporation","2.01","30873716.58","n/a","1995","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","10.55","125935033.5","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afh",
"AFHBL","Atlas Financial Holdings, Inc.","24.875","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afhbl",
"AUBN","Auburn National Bancorporation, Inc.","38.65","140828927.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/aubn",
"AXS","Axis Capital Holdings Limited","57.13","4771415161.41","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",
"BWINA","Baldwin & Lyons, Inc.","23","345248676","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","23.55","353504622.6","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/bwinb",
"BANC","Banc of California, Inc.","18.15","918233347.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banc",
"BANF","BancFirst Corporation","53.4","1742587034.4","n/a","1993","Finance","Major Banks","https://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","27.69","27690000","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","7.73","51542763263.4","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","10.47","77089956630.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","9.82","62749981336.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","99.73","16899197238.78","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","28.58","1126876104.3","n/a","1992","Finance","Commercial Banks","https://www.nasdaq.com/symbol/blx",
"BSMX","Banco Santander (M?xico), S.A., Instituci?n de Ban","7.42","10071899622.82","n/a","2012","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsmx",
"BSBR","Banco Santander Brasil SA","11.47","85942598969.44","n/a","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","33.86","15951964599.76","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsac",
"SAN","Banco Santander, S.A.","6.52","105207721354.64","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/san",
"CIB","BanColombia S.A.","46.57","11198070847.5","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/cib",
"BCTF","Bancorp 34, Inc.","15.045","50981502.045","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bctf",
